"category","model","service","price"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, 2017","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Pro 2017","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 4K, 21.5, 2017","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 5K, 27, 2017","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 5K, 27, (2017) A1419","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Late 2015","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 4K, 21.5, Late 2015","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 5K, 27, Late 2015","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Mid 2014","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 5K, 27, Mid 2015","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Retina 5K, 27, Late 2014","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Early 2013","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Late 2013","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, 2013","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, Late 2013","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Late 2012","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Late 2012 A1418","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, Late 2012","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, Mid 2012 A1312","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Late 2011","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Mid 2011","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, Mid 2011 A1311","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27 A1419 (2013)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, Mid 2011","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, 2010","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Mid 2010 A1311","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac Mid 2010 A1312","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 20, 2009","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 21.5, 2009","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 24, 2009","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","iMac 27, 2009","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Компьютеры","Компьютеры","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Планшеты","Планшеты iPad","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты LG","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Xiaomi","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Lenovo","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Acer","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Sony","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Asus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Huawei","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Nokia","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Планшеты Samsung","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Meizu","Meizu 16 Plus","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu 16s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu 16xs","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu E2","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu M2 mini","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu M2 Note","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu M3 Max","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu M8c","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu MX2","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu MX4","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu MX5","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu Note 9","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu Pro 6","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Meizu Pro 6s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Huawei","Huawei Ascend P7","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Mate 20 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Mate 20 X","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Mate 30 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Mate 40 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Mate Xs","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 10 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 2s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 3","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 5T","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 8","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 8i","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova 9","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Nova y90","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P20","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P20 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P20 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P30","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P30 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P30 lite New Edition","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P30 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P40","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P40 Lite","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P40 Lite E","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P40 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P40 Pro+","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P50 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P Smart","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P Smart 2019","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P smart 2021","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei P Smart Z","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y5 (2019)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y5p","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y6 (2019)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y6p","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y6s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y7 (2019)","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y8p","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Y9S","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Huawei Mate X3","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"ASUS","ASUS ROG Phone 3","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS ROG Phone 5","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS Zenfone 7","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS ZenFone 8 Flip","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS Zenfone 6","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS ZenFone 7 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS ROG Phone 5s","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS Zenfone 8","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","ASUS Zenfone Go ZB500KL","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"MacBook Pro","MacBook Pro 16""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","MacBook Pro 14""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","MacBook Pro 13""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","MacBook Pro 15""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","MacBook Pro 17""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"MacBook Air","MacBook Air 13""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","MacBook Air 11""","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"Blackview","Blackview BV5900","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Blackview BV9900 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Blackview A60","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Blackview BL6000 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Blackview BV6900","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
"","Blackview BV9600 Pro","Замена экрана","укажите цену"
"","","Замена аккумулятора","укажите цену"
"","","Замена корпуса","укажите цену"
"","","Замена разъема зарядки","укажите цену"
"","","Чистка после попадания влаги","укажите цену"
